,,"1 = all the heat is kept in the zone, 0 = all heat lost to external",Fraction of Heat released as water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,EquipmentLevel,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Watts/Area,,,,,,,,,,,,,,,,
,,,,Unit Power (W),Appliance level Multiplier (NOT USED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,,
Appliance,EP_purpose,Useful Gains,Fraction latent,Design Level (W) ,Gross Rated Cooling COP,Gross Rated Heating COP,Efficiency,Peak_Flow_Rate,4,5,6,7,8,9,10,PM25(mg/min),PM10(mg/min),NO2(mug/s),Calculation Method,Notes,watts per zone floor area [w/m2],watts per person [w/p],fraction radiant,fraction lost,occupancy [m2/p],flow per exterior surface m3/s-m2,flow rate per person m3/s-p,,calibrated,sigma,lower,upper,,,
Meeting_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.000645487,,,,0.000129097,0.000258195,0.001032779,20,,
Reception_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.000645487,,,,0.000129097,0.000258195,0.001032779,20,,
Storage_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.000645487,,,,0.000129097,0.000258195,0.001032779,20,,
Toilet_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.000645487,,,,0.000129097,0.000258195,0.001032779,20,,
Plant_Infiltration,ZoneInfiltration:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/ExteriorArea,,,,,,,0.000645487,,,,0.000129097,0.000258195,0.001032779,20,,
ZoneVentilation,ZoneVentilation:DesignFlowRate,,,,,,,,,,,,,,,,,,Flow/Person,,,,,,,,0.008,,,0.0016,0.0032,0.0128,20,,
Office_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,8,,1.6,3.2,12.8,20,,
Circulation_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,0,,0,0,0,20,,
Meeting_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,8,,1.6,3.2,12.8,20,,`
Reception_DesignOutdoorAir,DesignSpecification:OutdoorAir,,,,,,,,,,,,,,,,,,Maximum,,,,,,,,,8,,1.6,3.2,12.8,20,,
