0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
Office_EquipSched_1,EquipSched,Multiple,Fraction,,,,,0.141634839,0.135985216,0.140428232,0.142464011,0.141151098,0.141761868,0.143072963,0.140731072,0.141242592,0.166633784,0.326371978,0.438515549,0.555880357,0.625774754,0.643195032,0.65549284,0.714683613,0.8221331,0.890328491,0.976237549,0.960103766,0.950316712,0.954296049,0.957283127,0.958514725,0.953301366,0.975867867,0.992701297,0.994424542,1,0.970887716,0.978668491,0.980556425,0.956578245,0.884989203,0.823301665,0.754458058,0.676379463,0.636513989,0.596266178,0.564161969,0.5036109,0.459855402,0.421593806,0.346425262,0.258359242,0.185795755,0.157299815,0.124597213,0.118901586,0.119395384,0.116929342,0.119971727,0.120671888,0.120639459,0.121161264,0.117911042,0.118574353,0.125247257,0.142975338,0.157406029,0.162411813,0.164870484,0.162852546,0.171566973,0.188803572,0.200986377,0.209725862,0.224945155,0.236588467,0.247000675,0.259717371,0.259465944,0.267859035,0.265104085,0.271684126,0.265409207,0.263092042,0.262154563,0.258223343,0.252229668,0.252134151,0.239800996,0.232999852,0.215644699,0.199371479,0.190416786,0.176307432,0.173685145,0.166269332,0.158983234,0.155626882,0.15185438,0.140330464,0.119608642,0.108721504
Office_EquipSched_2,EquipSched,Multiple,Fraction,,,,,0.139532279,0.130830681,0.13623825,0.134168089,0.13699827,0.135225082,0.135151848,0.134708983,0.137348871,0.152423567,0.33246936,0.418634202,0.534080582,0.60377928,0.612913939,0.636348281,0.695741727,0.811271721,0.889034823,0.960708794,0.983483451,0.990646792,0.995244395,1,0.984616222,0.966665213,0.961131136,0.975732012,0.990406515,0.996055922,0.991562691,0.979995737,0.974010145,0.943043646,0.866725045,0.785520517,0.702964905,0.635351938,0.597749966,0.546986612,0.517108822,0.482707239,0.445663461,0.411412382,0.352610385,0.280486612,0.215096617,0.167806983,0.116749203,0.11021354,0.113315139,0.107929775,0.110712938,0.10983338,0.110459031,0.109182479,0.110070454,0.108088292,0.115478262,0.121681461,0.146561588,0.153025708,0.151119297,0.156160974,0.157671794,0.177405636,0.199609213,0.219506582,0.221261489,0.234046643,0.241668076,0.246333801,0.250161451,0.257860038,0.253051227,0.258822362,0.2623939,0.259473263,0.254465253,0.240550843,0.236338223,0.23086308,0.224232027,0.214321218,0.193956716,0.183970156,0.176395016,0.163125895,0.158694438,0.15299204,0.150892043,0.138127932,0.126563489,0.110718821,0.111935052,0.106089568
Office_EquipSched_3,EquipSched,Multiple,Fraction,,,,,0.266912125,0.255517985,0.264097121,0.263228642,0.264430555,0.266652932,0.265271895,0.262571854,0.262861089,0.282860154,0.423873301,0.577171555,0.703716764,0.787492463,0.82862582,0.813994268,0.824298932,0.863686026,0.893536129,0.938920488,0.966880874,0.989007614,0.982842961,0.992993315,0.990029629,0.98681186,0.980304468,0.990754571,0.99482867,1,0.997213111,0.994147069,0.99612286,0.983900562,0.981864805,0.946861206,0.916483036,0.891040465,0.862991681,0.828311436,0.802466418,0.771765669,0.740086331,0.672870674,0.582640412,0.459305475,0.372055859,0.300229507,0.2455946,0.23579298,0.240708881,0.240369333,0.237664267,0.248175165,0.239426144,0.236664487,0.234717745,0.234231059,0.238905504,0.252102604,0.280624638,0.28368057,0.282152604,0.287868329,0.285061399,0.294047564,0.30210617,0.312541613,0.328447552,0.338679265,0.342968889,0.361587439,0.362319892,0.361212589,0.358190611,0.356509848,0.358184952,0.362859397,0.359158323,0.363896904,0.355193157,0.354819654,0.356177846,0.351627902,0.344316302,0.339394742,0.326122187,0.322434318,0.309655994,0.299963784,0.290890306,0.276674562,0.275384523,0.258923989,0.246451259,0.240486532
Office_OccSched,OccSched,NoChange,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.5,0.8,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
Office_SystemsSched,System,NoChange,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Off_Continuously,On/Off,NoChange,Fraction,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant_EquipSched,EquipSched,NoChange,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shower_OccSched,OccSched,NoChange,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toilets_Cooling,Cooling,NoChange,Temperature,,,,,50,50,50,50,50,50,50,50,50,50,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Toilets_Heating,Heating,NoChange,Temperature,,,,,12,12,12,12,12,12,12,12,12,12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
WH_ambienttemp,Single,NoChange,Temperature,,,,,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
WH_setpointtemp,Single,NoChange,Temperature,,,,,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
WH_Showertemp,Single,NoChange,Temperature,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
