Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),LIVING:Zone Operative Temperature [C](Hourly),BEDROOM1:Zone Operative Temperature [C](Hourly),KITCHEN:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING:AFN Zone Infiltration Air Change Rate [ach](Hourly),BEDROOM1:AFN Zone Infiltration Air Change Rate [ach](Hourly),KITCHEN:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Relative Humidity [%](Hourly),BEDROOM3:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM2:Zone Air System Sensible Heating Energy [J](RunPeriod),DINING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air Relative Humidity [%](Hourly),TOPHALL:Zone Air System Sensible Heating Energy [J](RunPeriod),STAIRCASE:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air Relative Humidity [%](Hourly),BATH1:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air Relative Humidity [%](Hourly),HALL:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LIVING:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),BEDROOM1:Zone Air Generic Air Contaminant Concentration [ppm](Hourly) 
 02/05  07:00:00,11.9333333333333,74.5333333333333,18.9185514035614,17.1824043470507,2.65675909100086,1.46431039940256,2.62295908779417,,50.4934918495574,,,,,42.675465486454,,,,48.8076017507084,,60.3184913831102,,5.787617405339989E-002,5.510161101060259E-002,5.706891151495964E-002 
 02/05  08:00:00,12.0333333333333,73.5,20.3862686272724,18.6675451527728,2.46008721372759,1.50773505554849,2.73555289902493,,45.953750245311,,,,,39.373657230381,,,,44.1834093791823,,57.1573550942128,,5.744349126756645E-002,5.527219223645397E-002,5.750766538616624E-002 
 02/05  09:00:00,12.1666666666667,73.6,18.3616376071146,17.2658039386144,2.0599830272925,1.02817045022017,1.79931922641196,,56.3779101139992,,,,,49.1989558146241,,,,52.6170908551426,,63.8651630193121,,5.697649203027914E-002,5.462802971307967E-002,5.683789445754708E-002 
 02/05  10:00:00,12.3333333333333,74.1333333333333,17.2429773644245,16.38894453156,2.47970459970134,1.09467922019716,1.90045631106434,,61.1338374676439,,,,,53.6224435928418,,,,56.6874009278963,,66.6511957443867,,5.706172851192729E-002,5.345994652667409E-002,5.553489554126680E-002 
 02/05  11:00:00,12.4666666666667,73.5333333333333,16.8939946346384,16.0362324540223,2.92167102900899,1.28834710388784,2.25438278918009,,62.9668947222757,,,,,55.5255637887242,,,,58.7003169725816,,67.562694455069,,5.786914638741462E-002,5.432198957426149E-002,5.631282622760534E-002 
 02/05  12:00:00,12.5666666666667,74.7333333333333,16.8171536182508,15.9085501946575,2.6884253405565,1.46876525880864,2.68537677882001,,63.8847920024572,,,,,56.4728560803219,,,,60.0446829905075,,68.5440362072896,,5.786702842685071E-002,5.500091506239620E-002,5.714518834596263E-002 
 02/05  13:00:00,12.4666666666667,75.3666666666667,16.7222083726206,15.806043082216,2.58718072833732,1.27547168121113,2.28232401100449,,65.0895945828771,,,,,57.6535536537126,,,,61.3217085412464,,69.3994749835006,,5.744252105446817E-002,5.498882922722379E-002,5.723237668777634E-002 
 02/05  14:00:00,12.3333333333333,75.3,16.4915514920583,15.6322241682557,2.7259918893693,1.20191815126329,2.10140958982277,,65.4143754576955,,,,,58.1869442196973,,,,61.3571742740372,,69.2370033981571,,5.766326590569350E-002,5.441473162158742E-002,5.635797255061645E-002 
 02/05  15:00:00,12.1666666666667,75.9666666666667,16.2724768224503,15.4505528141617,2.28806989836343,1.00940340949819,1.75519470918028,,65.556677559421,,,,,58.5570535781848,,,,61.6909419547023,,69.2755877039682,,5.753049259851590E-002,5.400320121912370E-002,5.594034621067211E-002 
 02/05  16:00:00,12.1,76.3,16.0952929705173,15.2899564941632,2.16368452921033,0.954571046494507,1.6573078391313,,65.8806632019349,,,,,59.0485179004633,,,,62.2288874479961,,69.5228253267889,,5.701267890886507E-002,5.306404969816567E-002,5.518471617755830E-002 
