Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),BEDROOM1:Zone Operative Temperature [C](Hourly),LIVING:Zone Operative Temperature [C](Hourly),KITCHEN:AFN Zone Infiltration Air Change Rate [ach](Hourly),BEDROOM1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING:AFN Zone Infiltration Air Change Rate [ach](Hourly),HALL:Zone Air System Sensible Heating Energy [J](RunPeriod),DINING:Zone Air System Sensible Heating Energy [J](RunPeriod),TOPHALL:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air Relative Humidity [%](Hourly),BEDROOM3:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM2:Zone Air System Sensible Heating Energy [J](RunPeriod),STAIRCASE:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Relative Humidity [%](Hourly),BEDROOM1:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air Relative Humidity [%](Hourly),LIVING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air Relative Humidity [%](Hourly),KITCHEN:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),BEDROOM1:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LIVING:Zone Air Generic Air Contaminant Concentration [ppm](Hourly) 
 01/01  12:00:00,6.15833333333333,95.4166666666667,14.630672281493,14.6619761268851,0.913040571754866,0.0,0.0,,,,,69.4525038959896,,,,,68.4713373859092,,55.7069163881336,,56.1773465158755,5.271007259999710E-002,4.767530868302045E-002,4.890321468621735E-002 
 01/01  13:00:00,6.25833333333333,95.4416666666667,14.2304735177706,13.7583782987763,0.977162336269387,0.369851204722219,0.52777422478299,,,,,70.7497380926937,,,,,94.4399881955278,,57.0874436667617,,60.0401403165082,5.181696057674755E-002,4.866514209455647E-002,4.993402921915196E-002 
 01/01  14:00:00,5.48333333333333,95.2833333333333,13.9732220161617,13.8958250504654,0.923131516550669,0.0,0.14368796883698,,,,,71.3607302377248,,,,,82.0606408911872,,57.642925590113,,58.7148289991071,5.289435668010164E-002,4.825314264629228E-002,5.022138281841884E-002 
 01/01  15:00:00,4.66666666666667,96.075,13.7598589831365,13.7282520400303,0.98019302708202,0.0,0.216168250696978,,,,,69.240585507729,,,,,69.9950167111864,,58.6715327488605,,58.6909653990045,5.407892035610331E-002,4.525348264706665E-002,5.051716639363193E-002 
 01/01  16:00:00,4.15,95.65,13.5034269194647,13.5164467604407,0.936235116671954,0.0,0.218002761208876,,,,,68.09519465111,,,,,66.0608714273117,,58.807588939147,,57.8405073160024,5.411058426256218E-002,4.488965920033375E-002,5.085064407249586E-002 
 01/01  17:00:00,3.55,93.9083333333333,13.2366731533814,13.3097048225142,0.829368996865492,0.0,0.226923481592112,,,,,66.1592951847162,,,,,63.3531563362362,,58.0536560477616,,56.4713116890389,5.387508351479017E-002,4.547262296486355E-002,5.104671026282276E-002 
 01/01  18:00:00,3.18333333333333,93.1416666666667,16.2093191863413,16.8060340421818,0.749433127110577,0.0,0.257188014439518,,,,,51.1873483915733,,,,,43.8886043519155,,41.6377215085584,,39.0461215148733,5.344124920295754E-002,4.588026254775729E-002,5.102790146943884E-002 
 01/01  19:00:00,2.86666666666667,93.975,18.1187696452787,18.5338279313904,0.887868268743755,3.766563670904003E-002,0.32207804902362,,,,,47.1817132305224,,,,,84.9839772038662,,35.6785355246576,,34.7699610496486,5.287265158659238E-002,4.547113144789820E-002,5.124203940590200E-002 
 01/01  20:00:00,2.58333333333333,94.6583333333333,19.2510294336842,19.0624519294024,0.928976583482878,0.0,0.268408323265143,,,,,45.5424018752463,,,,,44.3742141936889,,33.8148311631652,,34.5845892427733,5.257134919640377E-002,4.566337524891654E-002,5.120611212239139E-002 
 01/01  21:00:00,2.38333333333333,94.6416666666667,20.0619623107808,19.8275502528077,0.820982273160246,3.785001459632593E-003,0.291880118035395,,,,,42.8320444237464,,,,,51.4391034112079,,32.8436793754354,,33.4611024778673,5.364281867797410E-002,4.603369675682454E-002,5.136092631642156E-002 
 01/01  22:00:00,2.24166666666667,93.4916666666667,17.5803526239509,17.0732793983787,0.624113361144141,9.193525693663451E-002,0.314356792227138,,,,,53.0201436479698,,,,,68.4809267932553,,42.1799203806802,,44.1576899716457,5.328815571604150E-002,4.663595769945685E-002,5.118711633895769E-002 
 01/01  23:00:00,2.08333333333333,92.6416666666667,16.5402740043669,15.3655671568173,0.648906019114781,0.121440249904404,0.356001384021578,,,,,54.7704802543619,,,,,59.0745659914185,,44.8193993584697,,48.0756631283021,5.266652977501719E-002,4.680442630603174E-002,5.086712742636620E-002 
 01/01  24:00:00,2.,90.5,16.0257663880906,14.6477434740406,0.619798648771351,0.118055846344778,0.329088965523263,,,,,56.3050876298525,,,,,51.4294074201145,,44.9492221184127,,46.9273841205204,5.215863089386685E-002,4.631642214612328E-002,5.075254122101400E-002 
 01/02  01:00:00,1.825,89.9333333333333,15.6256040959242,14.1865988300092,0.61547406669147,0.119078893060549,0.335043113428881,,,,,54.4146459552395,,,,,49.1157952431716,,43.9371042453907,,45.7294399794135,5.168287904694114E-002,4.615997254182136E-002,5.023621102206424E-002 
 01/02  02:00:00,1.58333333333333,90.6,15.3660611921764,13.8075561144992,0.685521371947967,0.0,0.216374222422349,,,,,53.2268205805316,,,,,48.6955310086155,,42.9428618110176,,44.6760839607022,5.190195292497909E-002,4.469596292607283E-002,4.994164601603643E-002 
 01/02  03:00:00,1.38333333333333,89.4916666666667,15.0215699172683,13.3757531690642,0.589083943079277,0.125843836445474,0.336229936988154,,,,,52.220704016297,,,,,48.6120517057489,,41.9625949269084,,44.2293159312193,5.170307706004679E-002,4.491038712668421E-002,5.014336538468189E-002 
 01/02  04:00:00,1.24166666666667,88.6416666666667,14.7568186696603,13.126641761792,0.676280517626429,0.0,0.145768465784695,,,,,51.0122491765664,,,,,48.476566825764,,40.9500820975254,,43.7519066611978,5.122301178057299E-002,4.468592388242992E-002,4.886451610339865E-002 
 01/02  05:00:00,1.2,86.3833333333333,14.4270802045798,12.6928599719567,0.667639935733813,0.1780460560532,0.372013984696974,,,,,50.15501438609,,,,,48.4461360651198,,40.3642683430398,,43.7898172439682,5.126962547490835E-002,4.490020993725071E-002,4.919276383384202E-002 
