Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),BEDROOM1:Zone Operative Temperature [C](Hourly),LIVING:Zone Operative Temperature [C](Hourly),KITCHEN:AFN Zone Infiltration Air Change Rate [ach](Hourly),BEDROOM1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING:AFN Zone Infiltration Air Change Rate [ach](Hourly),TOPHALL:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Relative Humidity [%](Hourly),BEDROOM2:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air Relative Humidity [%](Hourly),BATH1:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air Relative Humidity [%](Hourly),STAIRCASE:Zone Air System Sensible Heating Energy [J](RunPeriod),DINING:Zone Air System Sensible Heating Energy [J](RunPeriod),HALL:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM3:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air Relative Humidity [%](Hourly),KITCHEN:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),BEDROOM1:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LIVING:Zone Air Generic Air Contaminant Concentration [ppm](Hourly) 
 03/29  19:00:00,11.9416666666667,60.4166666666667,20.6216172642557,19.1730858854341,0.376832627103968,0.446386659507895,0.467057264662994,,,63.6952834336546,,,33.5127602735818,,41.8525131095349,,,,,,37.8422030751312,4.232721283029706E-002,4.312327353347018E-002,4.410361271198549E-002 
 03/29  20:00:00,10.4666666666667,73.1666666666667,20.3344440783521,19.3301002364218,0.161593511065621,0.369132487729377,0.384218013431703,,,53.8159010680887,,,35.2504949935908,,45.0585205488671,,,,,,41.8872955691056,4.248853328211185E-002,4.294952522364739E-002,4.547165238653075E-002 
 03/29  21:00:00,8.75,82.5,20.0847404920995,19.3110837238077,0.163562376434368,0.336845783786631,0.36267050299291,,,57.5888707691143,,,37.9912751500235,,49.778794009638,,,,,,47.8604962311007,4.182487240885351E-002,4.215845248903419E-002,4.592678774906464E-002 
 03/29  22:00:00,7.18333333333333,86.75,19.863296652226,19.2001313354686,0.190084788764669,0.298866443266613,0.348012538399553,,,62.6527637282476,,,39.8302072648086,,50.4775687199479,,,,,,50.5517166767025,4.221146707549602E-002,4.134990477563050E-002,4.618400522105385E-002 
 03/29  23:00:00,5.9,90.3333333333333,19.7411278577388,18.5697094863463,0.17696288263274,0.35116661000625,0.384763464825431,,,57.7999243157749,,,40.4402640651796,,50.9766074455169,,,,,,50.6350838614593,4.241345857227900E-002,4.104626644052703E-002,4.647935302062405E-002 
 03/29  24:00:00,5.225,92.5833333333333,19.7372065571673,18.1475559095103,0.122174509755107,0.490402860136008,0.475836807686396,,,53.4855218659746,,,39.5703532488148,,51.0357144276513,,,,,,46.8386788072017,4.172152757834527E-002,4.236723771054737E-002,4.719043519427130E-002 
 03/30  01:00:00,4.86666666666667,97.0833333333333,19.6501161784972,17.8682705888041,0.180628968661273,0.607659793765805,0.533582610673598,,,51.2103263733748,,,38.9082002076963,,50.2042099296574,,,,,,44.5786892052737,4.057380968280310E-002,4.468353920800622E-002,4.774862592948100E-002 
 03/30  02:00:00,4.23333333333333,100.,19.5176956014091,17.6247814871486,0.52215214898505,0.623150067581355,0.558804533324858,,,50.1543582676651,,,38.8011665907239,,48.6936904121391,,,,,,43.9900655836626,4.210641298939783E-002,4.631335440732809E-002,4.755412884846663E-002 
 03/30  03:00:00,3.49166666666667,100.,19.4074136856167,17.3177606887207,0.989729502621072,0.449062242741608,0.522398620157149,,,48.0980897352614,,,38.3527880334109,,46.883435184239,,,,,,43.172402758429,4.897770891908760E-002,4.665715179696667E-002,4.888873765663635E-002 
 03/30  04:00:00,3.25833333333333,100.,19.4104871145576,17.1093167845761,1.45105744193963,3.884397544431256E-002,0.295283339381813,,,46.5757376025642,,,37.4007562649487,,45.6824731220754,,,,,,41.869354446864,5.448023396401303E-002,4.651207565480817E-002,5.021471436291711E-002 
