Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),LIVING:Zone Operative Temperature [C](Hourly),BEDROOM1:Zone Operative Temperature [C](Hourly),LIVING:AFN Zone Infiltration Air Change Rate [ach](Hourly),KITCHEN:AFN Zone Infiltration Air Change Rate [ach](Hourly),BEDROOM1:AFN Zone Infiltration Air Change Rate [ach](Hourly),TOPHALL:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM2:Zone Air System Sensible Heating Energy [J](RunPeriod),STAIRCASE:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM3:Zone Air System Sensible Heating Energy [J](RunPeriod),DINING:Zone Air System Sensible Heating Energy [J](RunPeriod),HALL:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air System Sensible Heating Energy [J](RunPeriod),LIVING:Zone Air Relative Humidity [%](Hourly),BATH1:Zone Air System Sensible Heating Energy [J](RunPeriod),BATH1:Zone Air Relative Humidity [%](Hourly),KITCHEN:Zone Air System Sensible Heating Energy [J](RunPeriod),KITCHEN:Zone Air Relative Humidity [%](Hourly),BEDROOM1:Zone Air System Sensible Heating Energy [J](RunPeriod),BEDROOM1:Zone Air Relative Humidity [%](Hourly),LIVING:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),KITCHEN:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),BEDROOM1:Zone Air Generic Air Contaminant Concentration [ppm](Hourly) 
 01/07  21:00:00,-0.775,87.9333333333333,15.5015497244444,14.2646435099238,0.969854097700219,1.59084110014719,0.823651173927174,,,,,,,,37.5804732145864,,48.4978349474239,,48.6285793816727,,35.9550647515015,5.337534024028624E-002,5.599052855749575E-002,5.312662612144592E-002 
 01/07  22:00:00,-0.9,89.9416666666667,15.978467434206,14.3766775241183,0.178871629670097,1.59095147009654,0.0,,,,,,,,33.7640472464772,,46.9386350087374,,43.8527677628927,,34.7979027468868,5.383298297386448E-002,5.668427640766885E-002,5.160865396636170E-002 
 01/07  23:00:00,-0.841666666666667,90.9583333333333,15.4261526031091,14.8116366911222,0.237107076791514,1.44401076877481,0.0,,,,,,,,34.5202716060966,,44.737166744095,,36.807593547073,,33.5582184990923,5.274264981798694E-002,5.636135138173842E-002,4.970869858323177E-002 
 01/07  24:00:00,-1.5,91.2916666666667,14.3697520275663,14.4228202820494,0.245068344119362,1.32127319278527,0.0,,,,,,,,35.5744824288645,,46.0804281281986,,37.7304489130809,,34.7156346138123,5.212758986805636E-002,5.600700277206510E-002,4.817242482593623E-002 
 01/08  01:00:00,-2.05833333333333,91.325,13.7669563381827,14.1394735171211,0.263547893283369,1.22529781219579,0.0,,,,,,,,34.2864098397101,,44.4736998800434,,36.5801754054905,,34.2984502043981,5.175930441611985E-002,5.567678114640174E-002,4.709656289314011E-002 
 01/08  02:00:00,-2.275,93.7083333333333,13.3985937929052,13.9571797242866,0.26001526702518,1.24305660988485,0.0,,,,,,,,33.2185608230125,,44.0760260644174,,36.5862554515831,,33.2620643347896,5.154753568984357E-002,5.550198944301437E-002,4.640514417251019E-002 
 01/08  03:00:00,-2.4,95.5,13.1018019939744,13.8059359822162,0.271663572191946,1.09417785351603,0.0,,,,,,,,33.395520720441,,43.9548752336763,,37.3347694976656,,32.4761952745728,5.141890781989478E-002,5.535338297548840E-002,4.602210978975435E-002 
 01/08  04:00:00,-2.34166666666667,95.5,12.7199564108951,13.5258818913676,0.463466208445757,1.08668513633313,0.291511547841202,,,,,,,,34.2241576539816,,43.8537614852944,,37.8469655691844,,32.6471966906222,5.206994848818126E-002,5.481786141681314E-002,4.716175467447579E-002 
 01/08  05:00:00,-2.475,96.6083333333333,12.7836482045425,13.3951128438466,0.0,1.38057214721469,0.0,,,,,,,,33.7415891187428,,46.0641904211456,,38.6811168941675,,32.2812355003313,4.914289961030530E-002,5.477241882630013E-002,4.836541187520611E-002 
 01/08  06:00:00,-2.65833333333333,96.1166666666667,12.2540901752077,13.1020967692124,0.609777589384955,1.16045206789019,0.411998914020557,,,,,,,,35.1429461063945,,45.0623147683471,,39.0770601335581,,32.868569534008,5.048025368901798E-002,5.482610288102872E-002,4.930284487205757E-002 
