Name,Purpose,Permeability,htc_in,htc_out,vtc_in,vtc_out,Material,Thickness,U-Value
0.45.TIMB_AS_BUILT,External_Wall,8.29,8.29,29.3,0.00000002,6.25E-08,Spruce,0.02,0.449575849
,,,,,,,AirGap,0.035,
,,,,,,,Spruce,0.035,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.25_External_Wall,External_Wall,11.5,8.29,29.3,0.00000002,6.25E-08,Brick,0.14,0.250223724
,,,,,,,GlassFiber,0.135,
,,,,,,,Brick,0.125,
,,,,,,,Gypsum,0.005,
,,,,,,,,,
1.7.SYST,External_Wall,10.8,8.29,29.3,0.00000002,6.25E-08,Concrete,0.125,1.71722485
,,,,,,,AirGap,0.0055,
,,,,,,,Concrete,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.6.STONE_SAND,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Stone,0.3,0.614897946
,,,,,,,AirGap,0.03,
,,,,,,,Stone,0.3,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.25.CAVITY_INS,External_Wall,12.98,8.29,29.3,0.00000002,6.25E-08,Brick,0.2,0.242634607
,,,,,,,GlassFiber,0.13,
,,,,,,,Brick,0.2,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.4.CAVITY_INS,External_Wall,12.98,8.29,29.3,0.00000002,6.25E-08,Brick,0.13,0.397916464
,,,,,,,GlassFiber,0.075,
,,,,,,,Brick,0.13,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
1.SYST,External_Wall,10.8,8.29,29.3,0.00000002,6.25E-08,Concrete,0.125,1.036668322
,,,,,,,AirGap,0.015,
,,,,,,,Concrete,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.3.TIMB_AS_BUILT,External_Wall,8.29,8.29,29.3,0.00000002,6.25E-08,Spruce,0.02,0.291412463
,,,,,,,AirGap,0.065,
,,,,,,,Spruce,0.035,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.21.SOLID_BRICK_INT_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,CelluloseIns,0.11,0.338437312
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.3.STONE_SAND,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,AirGap,0.07,0.330944098
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.35.SYST,External_Wall,10.8,8.29,29.3,0.00000002,6.25E-08,Concrete,0.125,0.347693359
,,,,,,,AirGap,0.0625,
,,,,,,,Concrete,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.21.SYST_INT_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Concrete,0.25,0.216872369
,,,,,,,CelluloseIns,0.17,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.25.SYST_INT_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Concrete,0.25,0.250877636
,,,,,,,CelluloseIns,0.145,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.55.SOLID_BRICK_INT_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Brick,0.25,0.552814938
,,,,,,,CelluloseIns,0.0475,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.45.SYST_INT_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Concrete,0.25,0.4472258
,,,,,,,CelluloseIns,0.075,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
Solid_Brick_Ext_Wall,External_Wall,11.5,8.29,29.3,0.00000002,6.25E-08,Brick,0.28,1.583722823
,,,,,,,Gypsum,0.002,
,,,,,,,,,
0.35.SOLID_BRICK,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,AAC,0.37,0.345111518
,,,,,,,Gypsum,0.02,
,,,,,,,,,
2.5.TIMB_AS_BUILT,External_Wall,8.29,8.29,29.3,0.00000002,6.25E-08,Spruce,0.0125,2.492858935
,,,,,,,GlassFiber,0.0001,
,,,,,,,Spruce,0.009,
,,,,,,,Gypsum,0.001,
,,,,,,,,,
0.60_External_Ins_Wall,External_Wall,15,8.29,29.3,0.00000002,6.25E-08,GlassFiber,0.05,0.585734911
,,,,,,,Brick,0.18,
,,,,,,,Gypsum,0.0005,
,,,,,,,,,
0.35.TIMB_AS_BUILT,External_Wall,8.29,8.29,29.3,0.00000002,6.25E-08,Spruce,0.02,0.353614229
,,,,,,,AirGap,0.05,
,,,,,,,Spruce,0.035,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
1.7.STONE_SAND,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Stone,0.5,1.703868326
,,,,,,,GlassFiber,0.001,
,,,,,,,Stone,0.5,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.3.SYST_INS,External_Wall,10.8,8.29,29.3,0.00000002,6.25E-08,Concrete,0.125,0.297529881
,,,,,,,GlassFiber,0.12,
,,,,,,,Concrete,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
1.CAVITY,External_Wall,12.98,8.29,29.3,0.00000002,6.25E-08,Brick,0.125,0.976716917
,,,,,,,AirGap,0.01,
,,,,,,,Brick,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
1.6.CAVITY,External_Wall,12.98,8.29,29.3,0.00000002,6.25E-08,Brick,0.125,1.598854539
,,,,,,,AirGap,0.0001,
,,,,,,,Brick,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
2.10_Solid_Brick_Ext_Wall,External_Wall,15,8.29,29.3,0.00000002,6.25E-08,Brick,0.18,2.084388752
,,,,,,,Gypsum,0.005,
,,,,,,,,,
0.60_External_Wall,External_Wall,15,8.29,29.3,0.00000002,6.25E-08,Brick,0.18,0.585734911
,,,,,,,GlassFiber,0.05,
,,,,,,,Gypsum,0.0005,
,,,,,,,,,
0.6.TIMB_INT_INS,External_Wall,8.29,8.29,29.3,0.00000002,6.25E-08,Spruce,0.02,0.591412198
,,,,,,,GlassFiber,0.035,
,,,,,,,Spruce,0.035,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.55.TIMB_INT_INS,External_Wall,8.29,8.29,29.3,0.00000002,6.25E-08,Spruce,0.015,0.5538355
,,,,,,,GlassFiber,0.0525,
,,,,,,,Spruce,0.015,
,,,,,,,Gypsum,0.001,
,,,,,,,,,
1.60_Cavity_Brick_Ext_Wall,External_Wall,11.5,8.29,29.3,0.00000002,6.25E-08,Brick,0.14,1.609208221
,,,,,,,Brick,0.125,
,,,,,,,Gypsum,0.005,
,,,,,,,,,
0.45.CAVITY_INS,External_Wall,12.98,8.29,29.3,0.00000002,6.25E-08,Brick,0.13,0.441873665
,,,,,,,GlassFiber,0.065,
,,,,,,,Brick,0.13,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.21.SYST_INS,External_Wall,10.8,8.29,29.3,0.00000002,6.25E-08,Concrete,0.125,0.216872369
,,,,,,,GlassFiber,0.17,
,,,,,,,Concrete,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.50_External_Wall,External_Wall,5,8.29,29.3,0.00000002,6.25E-08,Brick,0.14,0.506485181
,,,,,,,AirGap,0.033,
,,,,,,,Brick,0.14,
,,,,,,,Gypsum,0.005,
,,,,,,,,,
0.35.SOLID_BRICK_INT_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Brick,0.25,0.348259307
,,,,,,,CelluloseIns,0.09,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.8.TIMB_AS_BUILT,External_Wall,8.29,8.29,29.3,0.00000002,6.25E-08,Spruce,0.02,0.782078071
,,,,,,,AirGap,0.0115,
,,,,,,,Spruce,0.035,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.5.CAVITY_INS,External_Wall,12.98,8.29,29.3,0.00000002,6.25E-08,Brick,0.13,0.509400921
,,,,,,,GlassFiber,0.053,
,,,,,,,Brick,0.13,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.45.SYST_INS,External_Wall,10.8,8.29,29.3,0.00000002,6.25E-08,Concrete,0.125,0.4472258
,,,,,,,GlassFiber,0.075,
,,,,,,,Concrete,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.35.STONE_GRAN,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,AirGap,0.058,0.39389293
,,,,,,,Gypsum,0.01,
,,,,,,,,,
1.7.STONE_GRAN,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Stone,0.5,1.703868326
,,,,,,,GlassFiber,0.001,
,,,,,,,Stone,0.5,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
1.STONE_GRAN,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Stone,0.5,1.013274081
,,,,,,,GlassFiber,0.017,
,,,,,,,Stone,0.5,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.3.TIMB_INT_INS,External_Wall,8.29,8.29,29.3,0.00000002,6.25E-08,Spruce,0.02,0.291412463
,,,,,,,AirGap,0.065,
,,,,,,,Spruce,0.035,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.35.TIMB_INT_INS,External_Wall,8.29,8.29,29.3,0.00000002,6.25E-08,Spruce,0.02,0.353614229
,,,,,,,AirGap,0.05,
,,,,,,,Spruce,0.035,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
1.SOLID_BRICK,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Brick,0.45,1.047386977
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.35.SOLID_BRICK_EX_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,CelluloseIns,0.09,0.348259307
,,,,,,,Brick,0.25,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.3.STONE_GRAN,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Stone,0.2,3.62075455
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.3.SYST,External_Wall,10.8,8.29,29.3,0.00000002,6.25E-08,Concrete,0.125,0.305016424
,,,,,,,AirGap,0.0725,
,,,,,,,Concrete,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.3.CAVITY,External_Wall,12.98,8.29,29.3,0.00000002,6.25E-08,Brick,0.125,0.308916779
,,,,,,,AirGap,0.065,
,,,,,,,Brick,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.45.STONE_SAND,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Stone,0.2,0.438749739
,,,,,,,AirGap,0.048,
,,,,,,,Stone,0.2,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.45_Cavity_Brick_Ext_Wall,External_Wall,5,8.29,29.3,0.00000002,6.25E-08,Brick,0.14,0.459643597
,,,,,,,AirGap,0.038,
,,,,,,,Brick,0.14,
,,,,,,,Gypsum,0.005,
,,,,,,,,,
0.45.SYST,External_Wall,10.8,8.29,29.3,0.00000002,6.25E-08,Concrete,0.125,0.440048697
,,,,,,,AirGap,0.0475,
,,,,,,,Concrete,0.125,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
0.3.SYST_INT_INS,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Concrete,0.25,0.297529881
,,,,,,,CelluloseIns,0.12,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
1.60_External_Wall_Flood,External_Wall,11.5,8.29,29.3,0.00000002,6.25E-08,Brick,0.14,1.609208221
,,,,,,,AirGap,0,
,,,,,,,Brick,0.125,
,,,,,,,Gypsum,0.005,
,,,,,,,,,
0.3.CAVITY_INS,External_Wall,12.98,8.29,29.3,0.00000002,6.25E-08,Brick,0.13,0.295151521
,,,,,,,GlassFiber,0.11,
,,,,,,,Brick,0.13,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
2.1.CAVITY,External_Wall,12.98,8.29,29.3,0.00000002,6.25E-08,Brick,0.08,2.103280468
,,,,,,,AirGap,0.0001,
,,,,,,,Brick,0.08,
,,,,,,,Gypsum,0.01,
,,,,,,,,,
1.7.SOLID_BRICK,External_Wall,10.08,8.29,29.3,0.00000002,6.25E-08,Brick,0.225,1.724860723
,,,,,,,Gypsum,0.01,
,,,,,,,,,
