aacode,dwell_weight,hhld_weight,GOR_EHS,rumorph,Tenure4x,dwtypenx,dwage9x,wallcavx,sap09,hhtype6,hhsizex,agehrpx,agepartx,ageoldx,Uglazing,Uroof,Uextwall,Ugndfloor,Permeability,floorx,efwalar,ebwalar,efwinar,ebwinar,finlivcl,,,,min,mean,max,sd
H0022203,1567,1569,10,4,1,3,5,1,43.02,1,2,60,61,61,2.758007117,0.394511149,1.6,0.705208582,15.3983,94.41,72.47,26.56,13.51,6.64,2.5,,,,,,,
H0022208,1465,1466,10,3,1,1,1,2,46.41,1,2,61,58,61,4.026845638,0.21575985,2.1,0.508545364,19.0085,95.74,52.17,4.04,3.96,4.04,2,,,,,,,
H0022211,511,516,10,2,3,7,9,1,75.08,1,2,83,76,83,2.758007117,2.3,0.6,0,15.822,50.91,143.82,0,215.73,0,2.3,,,,,,,
H0022302,1376,1378,10,4,1,4,7,1,64.5,1,2,65,53,65,2.758007117,0.175908222,1,0.808338058,15.1297,154.05,48.65,47.91,14.95,15.69,2.4,,,,,,,
H0022304,2821,,10,2,2,1,7,1,15.4,,,,,,,,,,,84.92,77.08,29.08,10.86,10.86,2.3,,,,,,,
H0022305,605,605,10,2,4,5,6,1,54.74,2,4,26,32,32,2.758007117,0.175908222,1.6,0.635383152,9.903,65.05,29.39,44.42,3.27,9.34,2.3,,,,,,,
H0022309,559,559,10,3,3,5,5,1,40.43,6,1,84,0,84,2.758007117,0.21575985,1.6,0.733564474,12.2361,39.24,32.32,15.26,7.63,3.82,2.4,,,,,,,
H0022401,1438,1440,10,3,1,5,6,1,44.09,1,2,56,62,62,2.758007117,0.394511149,1.6,0.674191004,10.9338,85.79,44.96,42.59,14.2,16.56,3.2,,,,,,,
H0022403,1852,1854,10,3,1,3,8,1,64.09,2,5,48,48,48,2.758007117,0.148482892,0.6,0.643190915,21.5077,124.34,51.42,12.55,10.36,8.36,2.3,,,,,,,
H0022407,1302,1321,10,2,1,6,3,2,49.88,1,2,73,68,73,2.758007117,2.3,2.1,0.9411345,7.2856,50.53,47.46,143.1,27.59,40.42,2.4,,,,,,,
H0022408,1272,1272,10,2,2,3,9,1,66.91,3,2,19,0,19,2.758007117,0.278956944,0.6,0.764432748,14.8319,57.1,21.22,62.16,2.36,9.53,2.3,,,,,,,
H0022411,2740,2740,10,3,3,5,7,1,36.7,6,1,62,0,62,2.758007117,0.278956944,1,0.456473381,9.5995,57.9,13.92,13.92,5.97,5.97,2.3,,,,,,,
H0023102,2047,2047,10,1,2,3,6,1,63.23,3,2,42,0,42,4.026845638,0.175908222,1.6,0.683265592,16.1071,81.58,73.52,20.71,14.74,8.87,2.3,,,,,,,
H0023103,804,804,10,1,2,7,4,2,39.63,6,1,74,0,74,2.758007117,0.148482892,2.1,0,9.7856,30.29,53.82,30.08,14.34,7.52,2.1,,,,,,,
H0023106,1400,1401,10,2,1,3,8,1,41.71,6,1,75,0,75,2.758007117,0.394511149,0.6,0.807077553,10.7947,70.73,74.71,43.57,8.19,7.44,2.3,,,,,,,
H0023109,1140,1141,10,2,1,4,1,2,28.71,3,3,48,0,48,4.026845638,0.278956944,2.1,0.768492332,22.4393,136.07,77.51,81.31,13.43,25.95,2.2,,,,,,,
H0023202,1223,1225,10,1,1,5,4,2,43.66,1,3,62,56,62,2.758007117,0.175908222,2.1,0.593299275,14.2784,139.6,55.83,68.5,29.59,12.09,2.6,,,,,,,
H0023204,1463,1465,10,1,1,5,8,1,58.72,1,3,63,49,63,2.758007117,0.175908222,0.6,0.538973034,12.5231,119.67,43,53.41,23.34,9.58,2.4,,,,,,,
H0023207,1180,1198,10,3,1,6,7,1,52.65,6,1,69,0,69,2.758007117,2.3,1,0.987755324,6.9884,57,100.53,80.48,33.66,16.42,2.3,,,,,,,
H0023209,3753,,10,2,1,1,2,2,24.01,,,,,,,,,,,96.38,63.97,23,12.84,9.86,2.5,,,,,,,
H0023210,2198,2200,10,3,1,3,2,2,48.99,1,2,56,50,56,2.758007117,0.394511149,2.1,0.888620083,14.2828,79.79,42.31,60.71,18.13,15.18,2.3,,,,,,,
H0023302,2043,2045,10,2,1,3,8,1,60.43,5,1,41,0,41,4.026845638,0.673499268,0.6,0.703702399,16.3305,71.08,18.36,69.98,7.87,13.6,2.3,,,,,,,
H0023309,1025,1036,10,1,4,7,6,1,49.07,5,1,49,0,49,2.758007117,2.3,1.6,0.73260375,10.6824,41.75,10.1,41.83,6.73,3.37,2.3,,,,,,,
H0023310,1527,1529,10,1,1,5,6,1,42.24,6,1,78,0,78,2.758007117,0.175908222,1.6,0.714484799,11.0439,72.74,42.49,45.54,15.24,12.19,2.4,,,,,,,
H0023402,499,499,10,2,3,3,5,1,57.42,2,5,32,25,32,4.026845638,0.21575985,1.6,0.72256831,17.8554,84.32,78.57,30.79,19.24,13.2,2.4,,,,,,,
H0023405,1463,1465,10,3,1,4,7,1,43.28,6,1,72,0,72,2.758007117,0.673499268,1,0.900881843,20.2466,85.56,36.83,40.59,11.85,9.21,2.3,,,,,,,
H0024201,1076,,10,2,3,2,5,1,64.66,,,,,,,,,,,67.01,23.56,23.56,10.1,10.1,2.3,,,,,,,
H0024211,1189,1190,10,2,1,4,9,1,70.82,1,2,69,61,69,2.758007117,0.21575985,0.6,0.871083317,27.7057,142.7,91.95,106.12,10.49,11.77,2.4,,,,,,,
H0024308,1356,1357,10,2,1,4,8,1,62.68,6,1,62,0,62,2.758007117,0.394511149,0.6,0.814663403,13.4581,84.15,69.26,79.87,9.96,15.35,2.4,,,,,,,
H0024309,1424,1426,10,3,1,4,5,1,54.56,1,3,52,54,54,2.758007117,0.175908222,1.6,0.787417216,21.7254,112.6,45.13,41.43,9.08,6.96,2.5,,,,,,,
H0024402,804,812,10,1,3,7,6,1,62.24,6,1,79,0,79,4.026845638,0.278956944,1.6,0,9.9595,55.15,91.65,45.09,14.94,11.27,2.3,,,,,,,
H0024403,1157,1158,10,1,1,2,6,2,59.3,1,2,67,62,67,2.758007117,0.394511149,1.7,0.552065614,16.5768,93.26,35.63,26.4,6.37,11.31,2.5,,,,,,,
H0024404,1107,1107,10,1,2,2,5,1,65.41,1,2,54,55,55,2.758007117,0.394511149,1.6,0.569306506,16.2608,73.56,32.87,30.24,8.22,7.56,2.5,,,,,,,
H0024405,4028,,10,4,1,1,8,2,9.2,,,,,,,,,,,59.11,57.14,26.67,9.64,2.96,1.9,,,,,,,
H0024408,1339,1339,10,3,2,1,7,1,64.79,3,3,30,0,30,2.758007117,0.21575985,1,0.686918659,11.7264,58.97,19.58,58.97,4.9,5.32,2.3,,,,,,,
H0024411,1160,1162,10,1,1,2,3,2,56.14,1,2,38,35,38,2.758007117,0.278956944,2.1,0.645699338,15.6201,94.1,20.44,54.62,8.76,13.66,2.7,,,,,,,
H0031206,1521,1523,10,1,1,2,3,2,66.96,5,1,34,0,34,2.758007117,0.148482892,2.1,0.588028401,15.2323,70.29,18.75,29.53,8.04,12.65,2.8,,,,,,,
H0031208,1726,1752,10,1,1,7,4,1,69.96,4,2,40,0,40,2.758007117,0.497566252,1.6,0,9.1439,47.99,34.31,34.31,14.71,14.71,2.6,,,,,,,
H0031303,1588,1590,10,1,1,2,7,1,62.98,6,1,67,0,67,2.758007117,0.148482892,1,0.467227502,14.5612,79.85,12.89,17.78,19.33,11.86,2.4,,,,,,,
H0031410,1365,1367,10,1,1,2,3,2,43.47,6,1,64,0,64,2.758007117,0.148482892,2.1,0.547382011,22.4377,171.88,32.64,59.39,21.76,25.45,2.7,,,,,,,
H0032101,517,517,10,1,3,5,5,1,60.24,1,2,70,70,70,2.758007117,2.3,1.6,0.519673376,10.1301,45.37,14.89,13.21,3.72,4.82,2.3,,,,,,,
H0032104,6531,6538,10,1,1,2,5,1,54.65,2,4,49,47,49,2.758007117,2.3,1.6,0.478027046,13.4887,66.78,17.95,17.95,7.69,7.69,2.3,,,,,,,
H0032105,529,529,10,1,3,2,6,2,69.51,6,1,76,0,76,2.758007117,1.456064827,0.8,0.428225553,12.3087,75.56,17.22,17.22,7.38,7.38,2.3,,,,,,,
H0032109,1592,1593,10,1,1,2,6,1,65.44,4,2,42,0,42,2.758007117,0.497566252,1.6,0.545581312,13.5052,66.84,19.14,33.02,4.78,4.78,2.3,,,,,,,
H0032204,634,634,10,1,3,5,6,1,56.02,6,1,63,0,63,2.758007117,0.175908222,1.6,0.772499088,11.5984,39.95,16.62,37.29,6.44,4.14,2.4,,,,,,,
H0032209,637,637,10,1,3,1,6,1,65.68,1,2,41,43,43,2.758007117,1.456064827,1.6,0.739082299,13.7122,69.61,70.07,25.09,5.1,5.1,2.4,,,,,,,
H0032301,1636,1638,10,1,1,5,4,1,57.08,6,1,74,0,74,2.758007117,0.175908222,1.6,0.754290627,11.7557,67.69,40.44,47.42,10.38,5.27,2.5,,,,,,,
H0032304,650,650,10,1,3,5,6,1,49.29,6,1,63,0,63,2.758007117,0.673499268,1.6,0.610017383,12.0702,39.71,19.54,13.46,5.05,3.37,2.3,,,,,,,
H0032306,1485,1486,10,1,1,5,9,1,63.93,1,2,80,73,80,2.758007117,0.148482892,0.6,0.636973725,13.8598,53.95,34.82,23.9,7.31,5.38,2.4,,,,,,,
H0032310,1416,1417,10,1,1,3,9,1,61.67,1,2,25,21,25,2.758007117,0.394511149,0.6,0.741346888,14.4857,66.86,67.44,17.47,13.86,7.49,2.4,,,,,,,
H0032402,596,603,10,1,3,7,6,1,69.74,6,1,66,0,66,2.758007117,2.3,1.6,0.715318888,8.0946,47.43,83.98,24.28,8.67,10.4,2.3,,,,,,,
H0032404,527,527,10,1,3,5,5,1,56.97,6,1,78,0,78,2.758007117,0.326820604,1.6,0.601601531,9.303,45.26,23.59,12.49,5.35,5.35,2.3,,,,,,,
H0032405,489,489,10,1,3,5,5,1,27.65,6,1,71,0,71,2.758007117,2.3,1.6,0.749701949,9.3108,41.02,31.57,13.08,4.9,7.55,2.3,,,,,,,
H0032408,1323,1342,10,1,1,7,9,1,76.4,2,3,25,24,25,2.758007117,0.148482892,0.6,0,12.7771,56.51,156.09,148.19,37.05,37.05,88.8,,,,,,,
H0033102,836,845,10,1,4,7,5,1,62.89,3,2,39,0,39,2.758007117,2.3,1.6,1.038308962,9.5246,59.95,170.14,185.59,46.36,30.91,2.3,,,,,,,
